"round","pca_gdlc_cnn_lstm_test - _step","pca_gdlc_cnn_lstm_test - _step__MIN","pca_gdlc_cnn_lstm_test - _step__MAX","pca_gdlc_cnn_lstm_test - train_loss_avg","pca_gdlc_cnn_lstm_test - train_loss_avg__MIN","pca_gdlc_cnn_lstm_test - train_loss_avg__MAX","baseline_cnn_lstm_test - _step","baseline_cnn_lstm_test - _step__MIN","baseline_cnn_lstm_test - _step__MAX","baseline_cnn_lstm_test - train_loss_avg","baseline_cnn_lstm_test - train_loss_avg__MIN","baseline_cnn_lstm_test - train_loss_avg__MAX","selected_centralities_cnn_lstm_test - _step","selected_centralities_cnn_lstm_test - _step__MIN","selected_centralities_cnn_lstm_test - _step__MAX","selected_centralities_cnn_lstm_test - train_loss_avg","selected_centralities_cnn_lstm_test - train_loss_avg__MIN","selected_centralities_cnn_lstm_test - train_loss_avg__MAX","all_centralities_cnn_lstm_test - _step","all_centralities_cnn_lstm_test - _step__MIN","all_centralities_cnn_lstm_test - _step__MAX","all_centralities_cnn_lstm_test - train_loss_avg","all_centralities_cnn_lstm_test - train_loss_avg__MIN","all_centralities_cnn_lstm_test - train_loss_avg__MAX"
"1","2","2","2","599.9593273796652","599.9593273796652","599.9593273796652","2","2","2","1274.2198796107484","1274.2198796107484","1274.2198796107484","2","2","2","709.7824136228082","709.7824136228082","709.7824136228082","2","2","2","806.9207835557291","806.9207835557291","806.9207835557291"
"2","5","5","5","505.05915611959347","505.05915611959347","505.05915611959347","5","5","5","1130.8751597715193","1130.8751597715193","1130.8751597715193","5","5","5","593.3176401657541","593.3176401657541","593.3176401657541","5","5","5","635.9675902055599","635.9675902055599","635.9675902055599"
"3","8","8","8","439.42152196583515","439.42152196583515","439.42152196583515","8","8","8","1008.1437799313758","1008.1437799313758","1008.1437799313758","8","8","8","517.66969218978716","517.66969218978716","517.66969218978716","8","8","8","450.8217133568451","450.8217133568451","450.8217133568451"
"4","11","11","11","408.04105300149837","408.04105300149837","408.04105300149837","11","11","11","938.5284471362215","938.5284471362215","938.5284471362215","11","11","11","497.11380082984044","497.11380082984044","497.11380082984044","11","11","11","395.43695763158803","395.43695763158803","395.43695763158803"
"5","14","14","14","392.64366034380174","392.64366034380174","392.64366034380174","14","14","14","884.873781275734","884.873781275734","884.873781275734","14","14","14","470.2883730843202","470.2883730843202","470.2883730843202","14","14","14","368.39249393978804","368.39249393978804","368.39249393978804"
"6","17","17","17","380.282303052045","380.282303052045","380.282303052045","17","17","17","845.5493818224388","845.5493818224388","845.5493818224388","17","17","17","459.5393126579194","459.5393126579194","459.5393126579194","17","17","17","345.2067111990204","345.2067111990204","345.2067111990204"
"7","20","20","20","372.79141596339196","372.79141596339196","372.79141596339196","20","20","20","813.1666804372086","813.1666804372086","813.1666804372086","20","20","20","451.2740503948975","451.2740503948975","451.2740503948975","20","20","20","331.9523321035603","331.9523321035603","331.9523321035603"
"8","23","23","23","365.13154194032904","365.13154194032904","365.13154194032904","23","23","23","785.8419071091265","785.8419071091265","785.8419071091265","23","23","23","427.53884814748744","427.53884814748744","427.53884814748744","23","23","23","320.51868159810465","320.51868159810465","320.51868159810465"
"9","26","26","26","363.0270447281138","363.0270447281138","363.0270447281138","26","26","26","763.9719767850842","763.9719767850842","763.9719767850842","26","26","26","436.0309544253929","436.0309544253929","436.0309544253929","26","26","26","305.7591235893179","305.7591235893179","305.7591235893179"
"10","29","29","29","357.3971694652771","357.3971694652771","357.3971694652771","29","29","29","744.9547941443813","744.9547941443813","744.9547941443813","29","29","29","418.69587959545925","418.69587959545925","418.69587959545925","29","29","29","285.2725374051156","285.2725374051156","285.2725374051156"
"11","32","32","32","354.504476436152","354.504476436152","354.504476436152","32","32","32","728.1698870882575","728.1698870882575","728.1698870882575","32","32","32","414.50687560726703","414.50687560726703","414.50687560726703","32","32","32","281.34750394709584","281.34750394709584","281.34750394709584"
"12","35","35","35","350.8047321456143","350.8047321456143","350.8047321456143","35","35","35","714.8319429863292","714.8319429863292","714.8319429863292","35","35","35","398.97434504898615","398.97434504898615","398.97434504898615","35","35","35","274.5884559808215","274.5884559808215","274.5884559808215"
"13","38","38","38","348.4216442958365","348.4216442958365","348.4216442958365","38","38","38","701.8215985102036","701.8215985102036","701.8215985102036","38","38","38","396.4099664864685","396.4099664864685","396.4099664864685","38","38","38","266.6334071216562","266.6334071216562","266.6334071216562"
"14","41","41","41","347.3230597775761","347.3230597775761","347.3230597775761","41","41","41","689.7951118768843","689.7951118768843","689.7951118768843","41","41","41","394.1861380567495","394.1861380567495","394.1861380567495","41","41","41","260.95737965285245","260.95737965285245","260.95737965285245"
"15","44","44","44","344.4510725903834","344.4510725903834","344.4510725903834","44","44","44","678.6636413494089","678.6636413494089","678.6636413494089","44","44","44","391.67105154554525","391.67105154554525","391.67105154554525","44","44","44","258.51432360420042","258.51432360420042","258.51432360420042"
"16","47","47","47","342.4901107616243","342.4901107616243","342.4901107616243","47","47","47","668.3724580270926","668.3724580270926","668.3724580270926","47","47","47","388.76913927129993","388.76913927129993","388.76913927129993","47","47","47","257.21703049673484","257.21703049673484","257.21703049673484"
"17","50","50","50","341.04105607843366","341.04105607843366","341.04105607843366","50","50","50","656.6438430293185","656.6438430293185","656.6438430293185","50","50","50","386.57771866225505","386.57771866225505","386.57771866225505","50","50","50","257.26011219563447","257.26011219563447","257.26011219563447"
