round,pca_gdlc_cnn_lstm_test - _step,pca_gdlc_cnn_lstm_test - _step__MIN,pca_gdlc_cnn_lstm_test - _step__MAX,pca_gdlc_cnn_lstm_test - test_f1,pca_gdlc_cnn_lstm_test - test_f1__MIN,pca_gdlc_cnn_lstm_test - test_f1__MAX,baseline_cnn_lstm_test - _step,baseline_cnn_lstm_test - _step__MIN,baseline_cnn_lstm_test - _step__MAX,baseline_cnn_lstm_test - test_f1,baseline_cnn_lstm_test - test_f1__MIN,baseline_cnn_lstm_test - test_f1__MAX,selected_centralities_cnn_lstm_test - _step,selected_centralities_cnn_lstm_test - _step__MIN,selected_centralities_cnn_lstm_test - _step__MAX,selected_centralities_cnn_lstm_test - test_f1,selected_centralities_cnn_lstm_test - test_f1__MIN,selected_centralities_cnn_lstm_test - test_f1__MAX,all_centralities_cnn_lstm_test - _step,all_centralities_cnn_lstm_test - _step__MIN,all_centralities_cnn_lstm_test - _step__MAX,all_centralities_cnn_lstm_test - test_f1,all_centralities_cnn_lstm_test - test_f1__MIN,all_centralities_cnn_lstm_test - test_f1__MAX
0,1,1,1,6.026376724,6.026376724,6.026376724,1,1,1,1.760452271,1.760452271,1.760452271,1,1,1,3.102501154,3.102501154,3.102501154,1,1,1,0.046833113,0.046833113,0.046833113
1,4,4,4,32.79651642,32.79651642,32.79651642,4,4,4,29.41242981,29.41242981,29.41242981,4,4,4,34.119133,34.119133,34.119133,4,4,4,27.65127754,27.65127754,27.65127754
2,7,7,7,44.07958221,44.07958221,44.07958221,7,7,7,48.33914566,48.33914566,48.33914566,7,7,7,38.06173706,38.06173706,38.06173706,7,7,7,23.28647614,23.28647614,23.28647614
3,10,10,10,46.44252777,46.44252777,46.44252777,10,10,10,56.29018021,56.29018021,56.29018021,10,10,10,55.63163757,55.63163757,55.63163757,10,10,10,34.35649109,34.35649109,34.35649109
4,13,13,13,55.65638351,55.65638351,55.65638351,13,13,13,61.31536865,61.31536865,61.31536865,13,13,13,53.7833252,53.7833252,53.7833252,13,13,13,44.33922958,44.33922958,44.33922958
5,16,16,16,67.98983002,67.98983002,67.98983002,16,16,16,62.10695648,62.10695648,62.10695648,16,16,16,56.97340393,56.97340393,56.97340393,16,16,16,42.1938858,42.1938858,42.1938858
6,19,19,19,68.27806854,68.27806854,68.27806854,19,19,19,62.10408783,62.10408783,62.10408783,19,19,19,54.89795303,54.89795303,54.89795303,19,19,19,51.57217789,51.57217789,51.57217789
7,22,22,22,70.67347717,70.67347717,70.67347717,22,22,22,62.30744934,62.30744934,62.30744934,22,22,22,59.64619827,59.64619827,59.64619827,22,22,22,52.45717621,52.45717621,52.45717621
8,25,25,25,68.94070435,68.94070435,68.94070435,25,25,25,63.0851593,63.0851593,63.0851593,25,25,25,58.33937073,58.33937073,58.33937073,25,25,25,56.94678497,56.94678497,56.94678497
9,28,28,28,70.8690567,70.8690567,70.8690567,28,28,28,62.89718246,62.89718246,62.89718246,28,28,28,62.83552933,62.83552933,62.83552933,28,28,28,54.30447388,54.30447388,54.30447388
10,31,31,31,70.93527222,70.93527222,70.93527222,31,31,31,64.17382813,64.17382813,64.17382813,31,31,31,67.53585434,67.53585434,67.53585434,31,31,31,58.42593765,58.42593765,58.42593765
11,34,34,34,72.17815399,72.17815399,72.17815399,34,34,34,65.32823181,65.32823181,65.32823181,34,34,34,66.99620438,66.99620438,66.99620438,34,34,34,58.27492905,58.27492905,58.27492905
12,37,37,37,73.95108795,73.95108795,73.95108795,37,37,37,65.22138977,65.22138977,65.22138977,37,37,37,67.71621704,67.71621704,67.71621704,37,37,37,59.95244217,59.95244217,59.95244217
13,40,40,40,71.47354889,71.47354889,71.47354889,40,40,40,65.81040192,65.81040192,65.81040192,40,40,40,68.08715057,68.08715057,68.08715057,40,40,40,57.57411575,57.57411575,57.57411575
14,43,43,43,71.69580841,71.69580841,71.69580841,43,43,43,65.82279205,65.82279205,65.82279205,43,43,43,69.16488647,69.16488647,69.16488647,43,43,43,59.36174393,59.36174393,59.36174393
15,46,46,46,74.59397888,74.59397888,74.59397888,46,46,46,66.24419403,66.24419403,66.24419403,46,46,46,69.91943741,69.91943741,69.91943741,46,46,46,60.76561479,60.76561479,60.76561479
16,49,49,49,74.41996002,74.41996002,74.41996002,49,49,49,67.34856415,67.34856415,67.34856415,49,49,49,70.13574295,70.13574295,70.13574295,49,49,49,61.11714285,61.11714285,61.11714285
17,52,52,52,74.16934204,74.16934204,74.16934204,52,52,52,67.63140106,67.63140106,67.63140106,52,52,52,70.43639374,70.43639374,70.43639374,52,52,52,61.80139751,61.80139751,61.80139751
18,55,55,55,74.57097626,74.57097626,74.57097626,55,55,55,67.84283447,67.84283447,67.84283447,55,55,55,71.26577377,71.26577377,71.26577377,55,55,55,60.93664711,60.93664711,60.93664711
19,58,58,58,75.16973114,75.16973114,75.16973114,58,58,58,68.1067276,68.1067276,68.1067276,58,58,58,71.28861237,71.28861237,71.28861237,58,58,58,61.27470238,61.27470238,61.27470238
20,61,61,61,75.10105896,75.10105896,75.10105896,61,61,61,68.21782684,68.21782684,68.21782684,61,61,61,71.31564636,71.31564636,71.31564636,61,61,61,61.36482062,61.36482062,61.36482062
